_id	        time	        sid	Total	Online	
2676951	2023-01-01T01:00:00	60127	170398920	0	0
2676952	2023-01-01T02:00:00	60127	170398920	0	0
2676953	2023-01-01T03:00:00	60127	170398920	0	0
2676954	2023-01-01T04:00:00	60127	170398920	0	0
2676955	2023-01-01T05:00:00	60127	170398920	0	0
2676956	2023-01-01T06:00:00	60127	170398920	0	0
2676957	2023-01-01T07:00:00	60127	170398920	0	0
2676958	2023-01-01T08:00:00	60127	170398920	0	0
2676959	2023-01-01T09:00:00	60127	170398920	120	0
2676960	2023-01-01T10:00:00	60127	170399040	1020	0
2676961	2023-01-01T11:00:00	60127	170400060	1980	0
2676962	2023-01-01T12:00:00	60127	170402040	2660	0
2676963	2023-01-01T13:00:00	60127	170404700	2972	0
2676964	2023-01-01T14:00:00	60127	170407672	1308	0
2676965	2023-01-01T15:00:00	60127	170408980	400	0
2676966	2023-01-01T16:00:00	60127	170409380	0	0
2676967	2023-01-01T17:00:00	60127	170409380	0	0
2676968	2023-01-01T18:00:00	60127	170409380	0	0
2676969	2023-01-01T19:00:00	60127	170409380	0	0
2676970	2023-01-01T20:00:00	60127	170409380	0	0
2676971	2023-01-01T21:00:00	60127	170409380	0	0
2676972	2023-01-01T22:00:00	60127	170409380	0	0
2676973	2023-01-01T23:00:00	60127	170409380	0	0
2676974	2023-01-01T00:00:00	60129	145112172	0	0
2676975	2023-01-01T01:00:00	60129	145112172	0	0
2676976	2023-01-01T02:00:00	60129	145112172	0	0
2676977	2023-01-01T03:00:00	60129	145112172	0	0
2676978	2023-01-01T04:00:00	60129	145112172	0	0
2676979	2023-01-01T05:00:00	60129	145112172	0	0
2676980	2023-01-01T06:00:00	60129	145112172	0	0
2676981	2023-01-01T07:00:00	60129	145112172	0	0
2676982	2023-01-01T08:00:00	60129	145112172	0	0
2676983	2023-01-01T09:00:00	60129	145112172	115	0
2676984	2023-01-01T10:00:00	60129	145112287	894	0
2676985	2023-01-01T11:00:00	60129	145113181	2073	0
2676986	2023-01-01T12:00:00	60129	145115254	3618	0
2676987	2023-01-01T13:00:00	60129	145118872	2611	0
2676988	2023-01-01T14:00:00	60129	145121483	879	0
2676989	2023-01-01T15:00:00	60129	145122362	333	0
2676990	2023-01-01T16:00:00	60129	145122695	0	0
2676991	2023-01-01T17:00:00	60129	145122695	0	0
2676992	2023-01-01T18:00:00	60129	145122695	0	0
2676993	2023-01-01T19:00:00	60129	145122695	0	0
2676994	2023-01-01T20:00:00	60129	145122695	0	0
2676995	2023-01-01T21:00:00	60129	145122695	0	0
2676996	2023-01-01T22:00:00	60129	145122695	0	0
2676997	2023-01-01T23:00:00	60129	145122695	0	0
2676998	2023-01-01T00:00:00	41460	227270740	0	0
2676999	2023-01-01T01:00:00	41460	227270740	0	0
2677000	2023-01-01T02:00:00	41460	227270740	0	0
2677001	2023-01-01T03:00:00	41460	227270740	0	0
2677002	2023-01-01T04:00:00	41460	227270740	0	0
2677003	2023-01-01T05:00:00	41460	227270740	0	0
2677004	2023-01-01T06:00:00	41460	227270740	0	0
2677005	2023-01-01T07:00:00	41460	227270740	0	0
2677006	2023-01-01T08:00:00	41460	227270740	0	0
2677007	2023-01-01T09:00:00	41460	227270740	0	0
2677008	2023-01-01T10:00:00	41460	227270740	0	0
2677009	2023-01-01T11:00:00	41460	227270740	0	0
2677010	2023-01-01T12:00:00	41460	227270740	0	0
2677011	2023-01-01T13:00:00	41460	227270740	0	0
2677012	2023-01-01T14:00:00	41460	227270740	0	0
2677013	2023-01-01T15:00:00	41460	227270740	0	0
2677014	2023-01-01T16:00:00	41460	227270740	0	0
2677015	2023-01-01T17:00:00	41460	227270740	0	0
2677016	2023-01-01T18:00:00	41460	227270740	0	0
2677017	2023-01-01T19:00:00	41460	227270740	0	0
2677018	2023-01-01T20:00:00	41460	227270740	0	0
2677019	2023-01-01T21:00:00	41460	227270740	0	0
2677020	2023-01-01T22:00:00	41460	227270740	0	0
2677021	2023-01-01T23:00:00	41460	227270740	0	0
2677022	2023-01-01T00:00:00	16017	264484517	0	0
2677023	2023-01-01T01:00:00	16017	264484517	0	0
2677024	2023-01-01T02:00:00	16017	264484517	0	0
2677025	2023-01-01T03:00:00	16017	264484517	0	0
2677026	2023-01-01T04:00:00	16017	264484517	0	0
2677027	2023-01-01T05:00:00	16017	264484517	0	0
2677028	2023-01-01T06:00:00	16017	264484517	0	0
2677029	2023-01-01T07:00:00	16017	264484517	0	0
2677030	2023-01-01T08:00:00	16017	264484517	0	0
2677031	2023-01-01T09:00:00	16017	264484517	132	0
2677032	2023-01-01T10:00:00	16017	264484649	880	0
2677033	2023-01-01T11:00:00	16017	264485529	1596	0
2677034	2023-01-01T12:00:00	16017	264487125	2136	0
2677035	2023-01-01T13:00:00	16017	264489261	2293	0
2677036	2023-01-01T14:00:00	16017	264491554	1242	0
2677037	2023-01-01T15:00:00	16017	264492796	419	0
2677038	2023-01-01T16:00:00	16017	264493215	15	0
2677039	2023-01-01T17:00:00	16017	264493230	0	0
2677040	2023-01-01T18:00:00	16017	264493230	0	0
2677041	2023-01-01T19:00:00	16017	264493230	0	0
2677042	2023-01-01T20:00:00	16017	264493230	0	0
2677043	2023-01-01T21:00:00	16017	264493230	0	0
2677044	2023-01-01T22:00:00	16017	264493230	0	0
2677045	2023-01-01T23:00:00	16017	264493230	0	0
2677046	2023-01-01T00:00:00	16022	571730140	0	0
2677047	2023-01-01T01:00:00	16022	571730140	0	0
2677048	2023-01-01T02:00:00	16022	571730140	0	0
2677049	2023-01-01T03:00:00	16022	571730140	0	0
2677050	2023-01-01T04:00:00	16022	571730140	0	0
2677051	2023-01-01T05:00:00	16022	571730140	0	0
2677052	2023-01-01T06:00:00	16022	571730140	0	0
2677053	2023-01-01T07:00:00	16022	571730140	0	0
2677054	2023-01-01T08:00:00	16022	571730140	0	0
2677055	2023-01-01T09:00:00	16022	571730140	187	0
2677056	2023-01-01T10:00:00	16022	571730327	1546	0
2677057	2023-01-01T11:00:00	16022	571731873	2508	0
2677058	2023-01-01T12:00:00	16022	571734381	4295	0
2677059	2023-01-01T13:00:00	16022	571738676	4623	0
2677060	2023-01-01T14:00:00	16022	571743299	2504	0
2677061	2023-01-01T15:00:00	16022	571745803	823	0
2677062	2023-01-01T16:00:00	16022	571746626	13	0
2677063	2023-01-01T17:00:00	16022	571746639	0	0
2677064	2023-01-01T18:00:00	16022	571746639	0	0
2677065	2023-01-01T19:00:00	16022	571746639	0	0
2677066	2023-01-01T20:00:00	16022	571746639	0	0
2677067	2023-01-01T21:00:00	16022	571746639	0	0
2677068	2023-01-01T22:00:00	16022	571746639	0	0
2677069	2023-01-01T23:00:00	16022	571746639	0	0
2677070	2023-01-01T00:00:00	16008	485580665	0	0
2677071	2023-01-01T01:00:00	16008	485580665	0	0
2677072	2023-01-01T02:00:00	16008	485580665	0	0
2677073	2023-01-01T03:00:00	16008	485580665	0	0
2677074	2023-01-01T04:00:00	16008	485580665	0	0
2677075	2023-01-01T05:00:00	16008	485580665	0	0
2677076	2023-01-01T06:00:00	16008	485580665	0	0
2677077	2023-01-01T07:00:00	16008	485580665	0	0
2677078	2023-01-01T08:00:00	16008	485580665	0	0
2677079	2023-01-01T09:00:00	16008	485580665	139	0
2677080	2023-01-01T10:00:00	16008	485580804	935	0
2677081	2023-01-01T11:00:00	16008	485581739	3274	0
2677082	2023-01-01T12:00:00	16008	485585013	3571	0
2677083	2023-01-01T13:00:00	16008	485588584	4222	0
2677084	2023-01-01T14:00:00	16008	485592806	1826	0
2677085	2023-01-01T15:00:00	16008	485594632	842	0
2677086	2023-01-01T16:00:00	16008	485595474	4	0
2677087	2023-01-01T17:00:00	16008	485595478	0	0
2677088	2023-01-01T18:00:00	16008	485595478	0	0
2677089	2023-01-01T19:00:00	16008	485595478	0	0
2677090	2023-01-01T20:00:00	16008	485595478	0	0
2677091	2023-01-01T21:00:00	16008	485595478	0	0
2677092	2023-01-01T22:00:00	16008	485595478	0	0
2677093	2023-01-01T23:00:00	16008	485595478	0	0
2677094	2023-01-01T00:00:00	54388	42739365	0	0
2677095	2023-01-01T01:00:00	54388	42739365	0	0
2677096	2023-01-01T02:00:00	54388	42739365	0	0
2677097	2023-01-01T03:00:00	54388	42739365	0	0
2677098	2023-01-01T04:00:00	54388	42739365	0	0
2677099	2023-01-01T05:00:00	54388	42739365	0	0
2677100	2023-01-01T06:00:00	54388	42739365	0	0
2677101	2023-01-01T07:00:00	54388	42739365	0	0
2677102	2023-01-01T08:00:00	54388	42739365	0	0
2677103	2023-01-01T09:00:00	54388	42739365	0	0
2677104	2023-01-01T10:00:00	54388	42739365	0	0
2677105	2023-01-01T11:00:00	54388	42739365	0	0
2677106	2023-01-01T12:00:00	54388	42739365	0	0
2677107	2023-01-01T13:00:00	54388	42739365	0	0
2677108	2023-01-01T14:00:00	54388	42739365	0	0
2677109	2023-01-01T15:00:00	54388	42739365	0	0
2677110	2023-01-01T16:00:00	54388	42739365	0	0
2677111	2023-01-01T17:00:00	54388	42739365	0	0
2677112	2023-01-01T18:00:00	54388	42739365	0	0
2677113	2023-01-01T19:00:00	54388	42739365	0	0
2677114	2023-01-01T20:00:00	54388	42739365	0	0
2677115	2023-01-01T21:00:00	54388	42739365	0	0
2677116	2023-01-01T22:00:00	54388	42739365	0	0
2677117	2023-01-01T23:00:00	54388	42739365	0	0
2677118	2023-01-01T00:00:00	57123	15881330	0	0
2677119	2023-01-01T01:00:00	57123	15881330	0	0
2677120	2023-01-01T02:00:00	57123	15881330	0	0
2677121	2023-01-01T03:00:00	57123	15881330	0	0
2677122	2023-01-01T04:00:00	57123	15881330	0	0
2677123	2023-01-01T05:00:00	57123	15881330	0	0
2677124	2023-01-01T06:00:00	57123	15881330	0	0
2677125	2023-01-01T07:00:00	57123	15881330	0	0
2677126	2023-01-01T08:00:00	57123	15881330	0	0
2677127	2023-01-01T09:00:00	57123	15881330	0	0
2677128	2023-01-01T10:00:00	57123	15881330	0	0
2677129	2023-01-01T11:00:00	57123	15881330	0	0
2677130	2023-01-01T12:00:00	57123	15881330	0	0
2677131	2023-01-01T13:00:00	57123	15881330	0	0
2677132	2023-01-01T14:00:00	57123	15881330	0	0
2677133	2023-01-01T15:00:00	57123	15881330	0	0
2677134	2023-01-01T16:00:00	57123	15881330	0	0
2677135	2023-01-01T17:00:00	57123	15881330	0	0
2677136	2023-01-01T18:00:00	57123	15881330	0	0
2677137	2023-01-01T19:00:00	57123	15881330	0	0
2677138	2023-01-01T20:00:00	57123	15881330	0	0
2677139	2023-01-01T21:00:00	57123	15881330	0	0
2677140	2023-01-01T22:00:00	57123	15881330	0	0
2677141	2023-01-01T23:00:00	57123	15881330	0	0
2677142	2023-01-01T00:00:00	54409	66808755	0	0
2677143	2023-01-01T01:00:00	54409	66808755	0	0
2677144	2023-01-01T02:00:00	54409	66808755	0	0
2677145	2023-01-01T03:00:00	54409	66808755	0	0
2677146	2023-01-01T04:00:00	54409	66808755	0	0
2677147	2023-01-01T05:00:00	54409	66808755	0	0
2677148	2023-01-01T06:00:00	54409	66808755	0	0
2677149	2023-01-01T07:00:00	54409	66808755	0	0
2677150	2023-01-01T08:00:00	54409	66808755	0	0
2677151	2023-01-01T09:00:00	54409	66808755	3	0
2677152	2023-01-01T10:00:00	54409	66808758	87	0
2677153	2023-01-01T11:00:00	54409	66808845	255	0
2677154	2023-01-01T12:00:00	54409	66809100	595	0
2677155	2023-01-01T13:00:00	54409	66809695	354	0
2677156	2023-01-01T14:00:00	54409	66810049	169	0
2677157	2023-01-01T15:00:00	54409	66810218	59	0
2677158	2023-01-01T16:00:00	54409	66810277	0	0
2677159	2023-01-01T17:00:00	54409	66810277	0	0
2677160	2023-01-01T18:00:00	54409	66810277	0	0
2677161	2023-01-01T19:00:00	54409	66810277	0	0
2677162	2023-01-01T20:00:00	54409	66810277	0	0
2677163	2023-01-01T21:00:00	54409	66810277	0	0
2677164	2023-01-01T22:00:00	54409	66810277	0	0
2677165	2023-01-01T23:00:00	54409	66810277	0	0
2677166	2023-01-01T00:00:00	54374	37915593	0	0
2677167	2023-01-01T01:00:00	54374	37915593	0	0
2677168	2023-01-01T02:00:00	54374	37915593	0	0
2677169	2023-01-01T03:00:00	54374	37915593	0	0
2677170	2023-01-01T04:00:00	54374	37915593	0	0
2677171	2023-01-01T05:00:00	54374	37915593	0	0
2677172	2023-01-01T06:00:00	54374	37915593	0	0
2677173	2023-01-01T07:00:00	54374	37915593	0	0
2677174	2023-01-01T08:00:00	54374	37915593	0	0
2677175	2023-01-01T09:00:00	54374	37915593	0	0
2677176	2023-01-01T10:00:00	54374	37915593	13	0
2677177	2023-01-01T11:00:00	54374	37915606	63	0
2677178	2023-01-01T12:00:00	54374	37915669	140	0
2677179	2023-01-01T13:00:00	54374	37915809	198	0
2677180	2023-01-01T14:00:00	54374	37916007	60	0
2677181	2023-01-01T15:00:00	54374	37916067	2	0
2677182	2023-01-01T16:00:00	54374	37916069	0	0
2677183	2023-01-01T17:00:00	54374	37916069	0	0
2677184	2023-01-01T18:00:00	54374	37916069	0	0
2677185	2023-01-01T19:00:00	54374	37916069	0	0
2677186	2023-01-01T20:00:00	54374	37916069	0	0
2677187	2023-01-01T21:00:00	54374	37916069	0	0
2677188	2023-01-01T22:00:00	54374	37916069	0	0
2677189	2023-01-01T23:00:00	54374	37916069	0	0
2677190	2023-01-01T00:00:00	54386	109682318	0	0
2677191	2023-01-01T01:00:00	54386	109682318	0	0
2677192	2023-01-01T02:00:00	54386	109682318	0	0
2677193	2023-01-01T03:00:00	54386	109682318	0	0
2677194	2023-01-01T04:00:00	54386	109682318	0	0
2677195	2023-01-01T05:00:00	54386	109682318	0	0
2677196	2023-01-01T06:00:00	54386	109682318	0	0
2677197	2023-01-01T07:00:00	54386	109682318	0	0
2677198	2023-01-01T08:00:00	54386	109682318	0	0
2677199	2023-01-01T09:00:00	54386	109682318	37	0
2677200	2023-01-01T10:00:00	54386	109682355	278	0
2677201	2023-01-01T11:00:00	54386	109682633	577	0
2677202	2023-01-01T12:00:00	54386	109683210	694	0
2677203	2023-01-01T13:00:00	54386	109683904	937	0
2677204	2023-01-01T14:00:00	54386	109684841	399	0
2677205	2023-01-01T15:00:00	54386	109685240	155	0
2677206	2023-01-01T16:00:00	54386	109685395	0	0
2677207	2023-01-01T17:00:00	54386	109685395	0	0
2677208	2023-01-01T18:00:00	54386	109685395	0	0
2677209	2023-01-01T19:00:00	54386	109685395	0	0
2677210	2023-01-01T20:00:00	54386	109685395	0	0
2677211	2023-01-01T21:00:00	54386	109685395	0	0
2677212	2023-01-01T22:00:00	54386	109685395	0	0
2677213	2023-01-01T23:00:00	54386	109685395	0	0
2677214	2023-01-01T00:00:00	60131	148889340	0	0
2677215	2023-01-01T01:00:00	60131	148889340	0	0
2677216	2023-01-01T02:00:00	60131	148889340	0	0
2677217	2023-01-01T03:00:00	60131	148889340	0	0
2677218	2023-01-01T04:00:00	60131	148889340	0	0
2677219	2023-01-01T05:00:00	60131	148889340	0	0
2677220	2023-01-01T06:00:00	60131	148889340	0	0
2677221	2023-01-01T07:00:00	60131	148889340	0	0
2677222	2023-01-01T08:00:00	60131	148889340	0	0
2677223	2023-01-01T09:00:00	60131	148889340	140	0
2677224	2023-01-01T10:00:00	60131	148889480	1090	0
2677225	2023-01-01T11:00:00	60131	148890570	1940	0
2677226	2023-01-01T12:00:00	60131	148892510	2555	0
2677227	2023-01-01T13:00:00	60131	148895065	2949	0
2677228	2023-01-01T14:00:00	60131	148898014	1686	0
2677229	2023-01-01T15:00:00	60131	148899700	590	0
2677230	2023-01-01T16:00:00	60131	148900290	0	0
2677231	2023-01-01T17:00:00	60131	148900290	0	0
2677232	2023-01-01T18:00:00	60131	148900290	0	0
2677233	2023-01-01T19:00:00	60131	148900290	0	0
2677234	2023-01-01T20:00:00	60131	148900290	0	0
2677235	2023-01-01T21:00:00	60131	148900290	0	0
2677236	2023-01-01T22:00:00	60131	148900290	0	0
2677237	2023-01-01T23:00:00	60131	148900290	0	0
2677238	2023-01-01T00:00:00	16018	423001509	0	0
2677239	2023-01-01T01:00:00	16018	423001509	0	0
2677240	2023-01-01T02:00:00	16018	423001509	0	0
2677241	2023-01-01T03:00:00	16018	423001509	0	0
2677242	2023-01-01T04:00:00	16018	423001509	0	0
2677243	2023-01-01T05:00:00	16018	423001509	0	0
2677244	2023-01-01T06:00:00	16018	423001509	0	0
2677245	2023-01-01T07:00:00	16018	423001509	0	0
2677246	2023-01-01T08:00:00	16018	423001509	0	0
2677247	2023-01-01T09:00:00	16018	423001509	0	0
2677248	2023-01-01T10:00:00	16018	423001509	0	0
2677249	2023-01-01T11:00:00	16018	423001509	0	0
2677250	2023-01-01T12:00:00	16018	423001509	0	0
2677251	2023-01-01T13:00:00	16018	423001509	0	0
2677252	2023-01-01T14:00:00	16018	423001509	0	0
2677253	2023-01-01T15:00:00	16018	423001509	0	0
2677254	2023-01-01T16:00:00	16018	423001509	0	0
2677255	2023-01-01T17:00:00	16018	423001509	0	0
2677256	2023-01-01T18:00:00	16018	423001509	0	0
2677257	2023-01-01T19:00:00	16018	423001509	0	0
2677258	2023-01-01T20:00:00	16018	423001509	0	0
2677259	2023-01-01T21:00:00	16018	423001509	0	0
2677260	2023-01-01T22:00:00	16018	423001509	0	0
2677261	2023-01-01T23:00:00	16018	423001509	0	0
2677262	2023-01-01T00:00:00	57120	7193330	0	0
2677263	2023-01-01T01:00:00	57120	7193330	0	0
2677264	2023-01-01T02:00:00	57120	7193330	0	0
2677265	2023-01-01T03:00:00	57120	7193330	0	0
2677266	2023-01-01T04:00:00	57120	7193330	0	0
2677267	2023-01-01T05:00:00	57120	7193330	0	0
2677268	2023-01-01T06:00:00	57120	7193330	0	0
2677269	2023-01-01T07:00:00	57120	7193330	0	0
2677270	2023-01-01T08:00:00	57120	7193330	0	0
2677271	2023-01-01T09:00:00	57120	7193330	0	0
2677272	2023-01-01T10:00:00	57120	7193330	0	0
2677273	2023-01-01T11:00:00	57120	7193330	0	0
2677274	2023-01-01T12:00:00	57120	7193330	0	0
2677275	2023-01-01T13:00:00	57120	7193330	0	0
2677276	2023-01-01T14:00:00	57120	7193330	0	0
2677277	2023-01-01T15:00:00	57120	7193330	0	0
2677278	2023-01-01T16:00:00	57120	7193330	0	0
2677279	2023-01-01T17:00:00	57120	7193330	0	0
2677280	2023-01-01T18:00:00	57120	7193330	0	0
2677281	2023-01-01T19:00:00	57120	7193330	0	0
2677282	2023-01-01T20:00:00	57120	7193330	0	0
2677283	2023-01-01T21:00:00	57120	7193330	0	0
2677284	2023-01-01T22:00:00	57120	7193330	0	0
2677285	2023-01-01T23:00:00	57120	7193330	0	0
2677286	2023-01-01T00:00:00	84671	11227659	0	0
2677287	2023-01-01T01:00:00	84671	11227659	0	0
2677288	2023-01-01T02:00:00	84671	11227659	0	0
2677289	2023-01-01T03:00:00	84671	11227659	0	0
2677290	2023-01-01T04:00:00	84671	11227659	0	0
2677291	2023-01-01T05:00:00	84671	11227659	0	0
2677292	2023-01-01T06:00:00	84671	11227659	0	0
2677293	2023-01-01T07:00:00	84671	11227659	0	0
2677294	2023-01-01T08:00:00	84671	11227659	0	0
2677295	2023-01-01T09:00:00	84671	11227659	21	0
2677296	2023-01-01T10:00:00	84671	11227680	70	0
2677297	2023-01-01T11:00:00	84671	11227750	240	0
2677298	2023-01-01T12:00:00	84671	11227990	290	0
2677299	2023-01-01T13:00:00	84671	11228280	250	0
2677300	2023-01-01T14:00:00	84671	11228530	110	0
2677301	2023-01-01T15:00:00	84671	11228640	29	0
2677302	2023-01-01T16:00:00	84671	11228669	0	0
2677303	2023-01-01T17:00:00	84671	11228669	0	0
2677304	2023-01-01T18:00:00	84671	11228669	0	0
2677305	2023-01-01T19:00:00	84671	11228669	0	0
2677306	2023-01-01T20:00:00	84671	11228669	0	0
2677307	2023-01-01T21:00:00	84671	11228669	0	0
2677308	2023-01-01T22:00:00	84671	11228669	0	0
2677309	2023-01-01T23:00:00	84671	11228669	0	0
2677310	2023-01-01T00:00:00	54376	131524085	0	0
2677311	2023-01-01T01:00:00	54376	131524085	0	0
2677312	2023-01-01T02:00:00	54376	131524085	0	0
2677313	2023-01-01T03:00:00	54376	131524085	0	0
2677314	2023-01-01T04:00:00	54376	131524085	0	0
2677315	2023-01-01T05:00:00	54376	131524085	0	0
2677316	2023-01-01T06:00:00	54376	131524085	0	0
2677317	2023-01-01T07:00:00	54376	131524085	0	0
2677318	2023-01-01T08:00:00	54376	131524085	0	0
2677319	2023-01-01T09:00:00	54376	131524085	13	0
2677320	2023-01-01T10:00:00	54376	131524098	197	0
2677321	2023-01-01T11:00:00	54376	131524295	390	0
2677322	2023-01-01T12:00:00	54376	131524685	538	0
2677323	2023-01-01T13:00:00	54376	131525223	636	0
2677324	2023-01-01T14:00:00	54376	131525859	355	0
2677325	2023-01-01T15:00:00	54376	131526214	86	0
2677326	2023-01-01T16:00:00	54376	131526300	0	0
2677327	2023-01-01T17:00:00	54376	131526300	0	0
2677328	2023-01-01T18:00:00	54376	131526300	0	0
2677329	2023-01-01T19:00:00	54376	131526300	0	0
2677330	2023-01-01T20:00:00	54376	131526300	0	0
2677331	2023-01-01T21:00:00	54376	131526300	0	0
2677332	2023-01-01T22:00:00	54376	131526300	0	0
2677333	2023-01-01T23:00:00	54376	131526300	0	0
2677334	2023-01-01T00:00:00	16019	385254958	0	0
2677335	2023-01-01T01:00:00	16019	385254958	0	0
2677336	2023-01-01T02:00:00	16019	385254958	0	0
2677337	2023-01-01T03:00:00	16019	385254958	0	0
2677338	2023-01-01T04:00:00	16019	385254958	0	0
2677339	2023-01-01T05:00:00	16019	385254958	0	0
2677340	2023-01-01T06:00:00	16019	385254958	0	0
2677341	2023-01-01T07:00:00	16019	385254958	0	0
2677342	2023-01-01T08:00:00	16019	385254958	0	0
2677343	2023-01-01T09:00:00	16019	385254958	136	0
2677344	2023-01-01T10:00:00	16019	385255094	934	0
2677345	2023-01-01T11:00:00	16019	385256028	1669	0
2677346	2023-01-01T12:00:00	16019	385257697	2759	0
2677347	2023-01-01T13:00:00	16019	385260456	2393	0
2677348	2023-01-01T14:00:00	16019	385262849	1012	0
2677349	2023-01-01T15:00:00	16019	385263861	475	0
2677350	2023-01-01T16:00:00	16019	385264336	13	0
2677351	2023-01-01T17:00:00	16019	385264349	0	0
2677352	2023-01-01T18:00:00	16019	385264349	0	0
2677353	2023-01-01T19:00:00	16019	385264349	0	0
2677354	2023-01-01T20:00:00	16019	385264349	0	0
2677355	2023-01-01T21:00:00	16019	385264349	0	0
2677356	2023-01-01T22:00:00	16019	385264349	0	0
2677357	2023-01-01T23:00:00	16019	385264349	0	0
2677358	2023-01-01T00:00:00	16009	320886304	0	0
2677359	2023-01-01T01:00:00	16009	320886304	0	0
2677360	2023-01-01T02:00:00	16009	320886304	0	0
2677361	2023-01-01T03:00:00	16009	320886304	0	0
2677362	2023-01-01T04:00:00	16009	320886304	0	0
2677363	2023-01-01T05:00:00	16009	320886304	0	0
2677364	2023-01-01T06:00:00	16009	320886304	0	0
2677365	2023-01-01T07:00:00	16009	320886304	0	0
2677366	2023-01-01T08:00:00	16009	320886304	0	0
2677367	2023-01-01T09:00:00	16009	320886304	0	0
2677368	2023-01-01T10:00:00	16009	320886304	140	0
2677369	2023-01-01T11:00:00	16009	320886444	350	0
2677370	2023-01-01T12:00:00	16009	320886794	470	0
2677371	2023-01-01T13:00:00	16009	320887264	548	0
2677372	2023-01-01T14:00:00	16009	320887812	1044	0
2677373	2023-01-01T15:00:00	16009	320888856	341	0
2677374	2023-01-01T16:00:00	16009	320889197	0	0
2677375	2023-01-01T17:00:00	16009	320889197	0	0
2677376	2023-01-01T18:00:00	16009	320889197	0	0
2677377	2023-01-01T19:00:00	16009	320889197	0	0
2677378	2023-01-01T20:00:00	16009	320889197	0	0
2677379	2023-01-01T21:00:00	16009	320889197	0	0
2677380	2023-01-01T22:00:00	16009	320889197	0	0
2677381	2023-01-01T23:00:00	16009	320889197	0	0
2677382	2023-01-01T00:00:00	16010	1271029382	0	0
2677383	2023-01-01T01:00:00	16010	1271029382	0	0
2677384	2023-01-01T02:00:00	16010	1271029382	0	0
2677385	2023-01-01T03:00:00	16010	1271029382	0	0
2677386	2023-01-01T04:00:00	16010	1271029382	0	0
2677387	2023-01-01T05:00:00	16010	1271029382	0	0
2677388	2023-01-01T06:00:00	16010	1271029382	0	0
2677389	2023-01-01T07:00:00	16010	1271029382	0	0
2677390	2023-01-01T08:00:00	16010	1271029382	0	0
2677391	2023-01-01T09:00:00	16010	1271029382	480	0
2677392	2023-01-01T10:00:00	16010	1271029862	4045	0
2677393	2023-01-01T11:00:00	16010	1271033907	8532	0
2677394	2023-01-01T12:00:00	16010	1271042439	11234	0
2677395	2023-01-01T13:00:00	16010	1271053673	8489	0
2677396	2023-01-01T14:00:00	16010	1271062162	4912	0
2677397	2023-01-01T15:00:00	16010	1271067074	1448	0
